timestamp: Fri Feb 15 00:40:51 EST 2019
rank,test,barrier,time
rank 32, test 5, use_barrier 0time in seconds: 0.008275, (use_barrier: 0, ranks: ./a.out)
rank 32, test 5, use_barrier 1time in seconds: 0.008733, (use_barrier: 1, ranks: ./a.out)
rank 32, test 6, use_barrier 0time in seconds: 0.008113, (use_barrier: 0, ranks: ./a.out)
rank 32, test 6, use_barrier 1time in seconds: 0.010550, (use_barrier: 1, ranks: ./a.out)
rank 32, test 7, use_barrier 0time in seconds: 0.008803, (use_barrier: 0, ranks: ./a.out)
rank 32, test 7, use_barrier 1time in seconds: 0.011153, (use_barrier: 1, ranks: ./a.out)
rank 2, test 1, use_barrier 0time in seconds: 0.088570, (use_barrier: 0, ranks: ./a.out)
rank 2, test 1, use_barrier 1time in seconds: 0.086211, (use_barrier: 1, ranks: ./a.out)
rank 2, test 2, use_barrier 0time in seconds: 0.082518, (use_barrier: 0, ranks: ./a.out)
rank 2, test 2, use_barrier 1time in seconds: 0.084860, (use_barrier: 1, ranks: ./a.out)
rank 2, test 3, use_barrier 0time in seconds: 0.082351, (use_barrier: 0, ranks: ./a.out)
rank 2, test 3, use_barrier 1time in seconds: 0.089568, (use_barrier: 1, ranks: ./a.out)
rank 2, test 4, use_barrier 0time in seconds: 0.083200, (use_barrier: 0, ranks: ./a.out)
rank 2, test 4, use_barrier 1time in seconds: 0.094846, (use_barrier: 1, ranks: ./a.out)
rank 2, test 5, use_barrier 0time in seconds: 0.098654, (use_barrier: 0, ranks: ./a.out)
rank 2, test 5, use_barrier 1time in seconds: 0.095317, (use_barrier: 1, ranks: ./a.out)
rank 2, test 6, use_barrier 0time in seconds: 0.083030, (use_barrier: 0, ranks: ./a.out)
rank 2, test 6, use_barrier 1time in seconds: 0.089509, (use_barrier: 1, ranks: ./a.out)
rank 2, test 7, use_barrier 0time in seconds: 0.084222, (use_barrier: 0, ranks: ./a.out)
rank 2, test 7, use_barrier 1time in seconds: 0.082846, (use_barrier: 1, ranks: ./a.out)
rank 4, test 1, use_barrier 0time in seconds: 0.049494, (use_barrier: 0, ranks: ./a.out)
rank 4, test 1, use_barrier 1time in seconds: 0.049788, (use_barrier: 1, ranks: ./a.out)
rank 4, test 2, use_barrier 0time in seconds: 0.048361, (use_barrier: 0, ranks: ./a.out)
rank 4, test 2, use_barrier 1time in seconds: 0.049321, (use_barrier: 1, ranks: ./a.out)
rank 4, test 3, use_barrier 0time in seconds: 0.049775, (use_barrier: 0, ranks: ./a.out)
rank 4, test 3, use_barrier 1time in seconds: 0.055817, (use_barrier: 1, ranks: ./a.out)
rank 4, test 4, use_barrier 0time in seconds: 0.050608, (use_barrier: 0, ranks: ./a.out)
rank 4, test 4, use_barrier 1time in seconds: 0.052857, (use_barrier: 1, ranks: ./a.out)
rank 4, test 5, use_barrier 0time in seconds: 0.041440, (use_barrier: 0, ranks: ./a.out)
rank 4, test 5, use_barrier 1time in seconds: 0.043000, (use_barrier: 1, ranks: ./a.out)
rank 4, test 6, use_barrier 0time in seconds: 0.048272, (use_barrier: 0, ranks: ./a.out)
rank 4, test 6, use_barrier 1time in seconds: 0.051367, (use_barrier: 1, ranks: ./a.out)
rank 4, test 7, use_barrier 0time in seconds: 0.043434, (use_barrier: 0, ranks: ./a.out)
rank 4, test 7, use_barrier 1time in seconds: 0.050852, (use_barrier: 1, ranks: ./a.out)
rank 8, test 1, use_barrier 0time in seconds: 0.028374, (use_barrier: 0, ranks: ./a.out)
rank 8, test 1, use_barrier 1time in seconds: 0.024427, (use_barrier: 1, ranks: ./a.out)
rank 8, test 2, use_barrier 0time in seconds: 0.027468, (use_barrier: 0, ranks: ./a.out)
rank 8, test 2, use_barrier 1time in seconds: 0.033380, (use_barrier: 1, ranks: ./a.out)
rank 8, test 3, use_barrier 0time in seconds: 0.028457, (use_barrier: 0, ranks: ./a.out)
rank 8, test 3, use_barrier 1time in seconds: 0.027043, (use_barrier: 1, ranks: ./a.out)
rank 8, test 4, use_barrier 0time in seconds: 0.025959, (use_barrier: 0, ranks: ./a.out)
rank 8, test 4, use_barrier 1time in seconds: 0.026890, (use_barrier: 1, ranks: ./a.out)
rank 8, test 5, use_barrier 0time in seconds: 0.027119, (use_barrier: 0, ranks: ./a.out)
rank 8, test 5, use_barrier 1time in seconds: 0.026896, (use_barrier: 1, ranks: ./a.out)
rank 8, test 6, use_barrier 0time in seconds: 0.026561, (use_barrier: 0, ranks: ./a.out)
rank 8, test 6, use_barrier 1time in seconds: 0.029305, (use_barrier: 1, ranks: ./a.out)
rank 8, test 7, use_barrier 0time in seconds: 0.028006, (use_barrier: 0, ranks: ./a.out)
rank 8, test 7, use_barrier 1time in seconds: 0.026951, (use_barrier: 1, ranks: ./a.out)
rank 16, test 1, use_barrier 0time in seconds: 0.018879, (use_barrier: 0, ranks: ./a.out)
rank 16, test 1, use_barrier 1time in seconds: 0.014668, (use_barrier: 1, ranks: ./a.out)
rank 16, test 2, use_barrier 0time in seconds: 0.014518, (use_barrier: 0, ranks: ./a.out)
rank 16, test 2, use_barrier 1time in seconds: 0.014365, (use_barrier: 1, ranks: ./a.out)
rank 16, test 3, use_barrier 0time in seconds: 0.013045, (use_barrier: 0, ranks: ./a.out)
rank 16, test 3, use_barrier 1time in seconds: 0.014785, (use_barrier: 1, ranks: ./a.out)
rank 16, test 4, use_barrier 0time in seconds: 0.017268, (use_barrier: 0, ranks: ./a.out)
rank 16, test 4, use_barrier 1time in seconds: 0.015606, (use_barrier: 1, ranks: ./a.out)
rank 16, test 5, use_barrier 0time in seconds: 0.016621, (use_barrier: 0, ranks: ./a.out)
rank 16, test 5, use_barrier 1time in seconds: 0.019013, (use_barrier: 1, ranks: ./a.out)
rank 16, test 6, use_barrier 0time in seconds: 0.013483, (use_barrier: 0, ranks: ./a.out)
rank 16, test 6, use_barrier 1time in seconds: 0.014696, (use_barrier: 1, ranks: ./a.out)
rank 16, test 7, use_barrier 0time in seconds: 0.013875, (use_barrier: 0, ranks: ./a.out)
rank 16, test 7, use_barrier 1time in seconds: 0.014840, (use_barrier: 1, ranks: ./a.out)
rank 32, test 1, use_barrier 0time in seconds: 0.008064, (use_barrier: 0, ranks: ./a.out)
rank 32, test 1, use_barrier 1time in seconds: 0.010835, (use_barrier: 1, ranks: ./a.out)
rank 32, test 2, use_barrier 0time in seconds: 0.009879, (use_barrier: 0, ranks: ./a.out)
rank 32, test 2, use_barrier 1time in seconds: 0.008991, (use_barrier: 1, ranks: ./a.out)
rank 32, test 3, use_barrier 0time in seconds: 0.008890, (use_barrier: 0, ranks: ./a.out)
rank 32, test 3, use_barrier 1time in seconds: 0.008573, (use_barrier: 1, ranks: ./a.out)
rank 32, test 4, use_barrier 0time in seconds: 0.008179, (use_barrier: 0, ranks: ./a.out)
rank 32, test 4, use_barrier 1time in seconds: 0.008774, (use_barrier: 1, ranks: ./a.out)
rank 32, test 5, use_barrier 0time in seconds: 0.008937, (use_barrier: 0, ranks: ./a.out)
rank 32, test 5, use_barrier 1time in seconds: 0.009437, (use_barrier: 1, ranks: ./a.out)
rank 32, test 6, use_barrier 0time in seconds: 0.008227, (use_barrier: 0, ranks: ./a.out)
rank 32, test 6, use_barrier 1time in seconds: 0.010871, (use_barrier: 1, ranks: ./a.out)
rank 32, test 7, use_barrier 0time in seconds: 0.009036, (use_barrier: 0, ranks: ./a.out)
rank 32, test 7, use_barrier 1time in seconds: 0.009567, (use_barrier: 1, ranks: ./a.out)
rank 2, test 1, use_barrier 0time in seconds: 0.081982, (use_barrier: 0, ranks: ./a.out)
rank 2, test 1, use_barrier 1time in seconds: 0.084216, (use_barrier: 1, ranks: ./a.out)
rank 2, test 2, use_barrier 0time in seconds: 0.082943, (use_barrier: 0, ranks: ./a.out)
rank 2, test 2, use_barrier 1time in seconds: 0.087874, (use_barrier: 1, ranks: ./a.out)
rank 2, test 3, use_barrier 0time in seconds: 0.085431, (use_barrier: 0, ranks: ./a.out)
rank 2, test 3, use_barrier 1time in seconds: 0.087292, (use_barrier: 1, ranks: ./a.out)
rank 2, test 4, use_barrier 0time in seconds: 0.083752, (use_barrier: 0, ranks: ./a.out)
rank 2, test 4, use_barrier 1time in seconds: 0.083317, (use_barrier: 1, ranks: ./a.out)
rank 2, test 5, use_barrier 0time in seconds: 0.078331, (use_barrier: 0, ranks: ./a.out)
rank 2, test 5, use_barrier 1time in seconds: 0.086122, (use_barrier: 1, ranks: ./a.out)
rank 2, test 6, use_barrier 0time in seconds: 0.080127, (use_barrier: 0, ranks: ./a.out)
