timestamp: Fri Feb 15 04:00:00 EST 2019
rank,test,barrier,time
2,4,1,0.084926
2,5,0,0.082216
2,5,1,0.083696
2,6,0,0.084999
2,6,1,0.091748
2,7,0,0.078090
2,7,1,0.084780
4,1,0,0.048058
4,1,1,0.054914
4,2,0,0.051099
4,2,1,0.051591
4,3,0,0.050131
4,3,1,0.043505
4,4,0,0.047333
4,4,1,0.054025
4,5,0,0.051288
4,5,1,0.043416
4,6,0,0.053117
4,6,1,0.050796
4,7,0,0.046251
4,7,1,0.052528
8,1,0,0.025184
8,1,1,0.029510
8,2,0,0.030276
8,2,1,0.028720
8,3,0,0.026564
8,3,1,0.031701
8,4,0,0.023494
8,4,1,0.028065
8,5,0,0.022733
8,5,1,0.032067
8,6,0,0.023302
8,6,1,0.030566
8,7,0,0.026709
8,7,1,0.026435
16,1,0,0.018004
16,1,1,0.019218
16,2,0,0.017985
16,2,1,0.014672
16,3,0,0.013891
16,3,1,0.018646
16,4,0,0.015140
16,4,1,0.013978
16,5,0,0.013084
16,5,1,0.014675
16,6,0,0.013297
16,6,1,0.015937
16,7,0,0.013902
16,7,1,0.014600
32,1,0,0.009373
32,1,1,0.008826
32,2,0,0.008251
32,2,1,0.008883
32,3,0,0.008227
32,3,1,0.008578
32,4,0,0.010854
32,4,1,0.009575
32,5,0,0.008008
32,5,1,0.009647
32,6,0,0.008105
32,6,1,0.008929
32,7,0,0.009074
32,7,1,0.011441
2,1,0,0.087032
2,1,1,0.089627
2,2,0,0.082589
2,2,1,0.085662
2,3,0,0.089731
2,3,1,0.085106
2,4,0,0.076633
2,4,1,0.096438
2,5,0,0.077972
2,5,1,0.084853
2,6,0,0.078408
2,6,1,0.083545
2,7,0,0.080464
2,7,1,0.084766
4,1,0,0.049599
4,1,1,0.044051
4,2,0,0.050944
4,2,1,0.055381
4,3,0,0.049549
4,3,1,0.044708
4,4,0,0.048118
4,4,1,0.053812
4,5,0,0.049931
4,5,1,0.051031
4,6,0,0.047960
4,6,1,0.050655
4,7,0,0.050305
4,7,1,0.053831
8,1,0,0.028648
8,1,1,0.028924
8,2,0,0.030828
8,2,1,0.032122
8,3,0,0.025991
8,3,1,0.033068
8,4,0,0.026504
8,4,1,0.027008
8,5,0,0.026053
8,5,1,0.036480
8,6,0,0.030324
8,6,1,0.030708
8,7,0,0.028579
8,7,1,0.027909
16,1,0,0.012500
16,1,1,0.014548
16,2,0,0.015780
16,2,1,0.014430
16,3,0,0.014134
16,3,1,0.014098
16,4,0,0.013701
16,4,1,0.014691
16,5,0,0.013933
16,5,1,0.014669
16,6,0,0.014831
16,6,1,0.015299
16,7,0,0.014850
16,7,1,0.014794
32,1,0,0.008239
32,1,1,0.008733
32,2,0,0.008045
