timestamp: Sat Feb 16 07:44:21 EST 201
rank,test,barrier,time
4,4,1,0.109968
4,5,0,0.099460
4,5,1,0.106185
4,6,0,0.103766
4,6,1,0.110497
4,7,0,0.103472
4,7,1,0.091230
8,1,0,0.085817
8,1,1,0.092045
8,2,0,0.078583
8,2,1,0.088664
8,3,0,0.081730
8,3,1,0.096533
8,4,0,0.084378
8,4,1,0.087400
8,5,0,0.078924
8,5,1,0.084847
8,6,0,0.075764
8,6,1,0.086918
8,7,0,0.084524
8,7,1,0.089535
16,1,0,0.066099
16,1,1,0.075036
16,2,0,0.067504
16,2,1,0.071926
16,3,0,0.061660
16,3,1,0.067539
16,4,0,0.079116
16,4,1,0.077295
16,5,0,0.074096
16,5,1,0.094704
16,6,0,0.083750
16,6,1,0.060668
16,7,0,0.075965
16,7,1,0.084022
32,1,0,0.084044
32,1,1,0.086938
32,2,0,0.071785
32,2,1,0.081626
32,3,0,0.077852
32,3,1,0.071224
32,4,0,0.085201
32,4,1,0.075695
32,5,0,0.083507
32,5,1,0.084218
32,6,0,0.072494
32,6,1,0.088657
32,7,0,0.086974
32,7,1,0.073239
1,1,0,0.206001
1,1,1,0.201873
1,2,0,0.210514
1,2,1,0.207959
1,3,0,0.204483
1,3,1,0.205921
1,4,0,0.209017
1,4,1,0.211607
1,5,0,0.209880
1,5,1,0.208940
1,6,0,0.214202
1,6,1,0.201052
1,7,0,0.202540
1,7,1,0.208172
2,1,0,0.138794
2,1,1,0.138433
2,2,0,0.138901
2,2,1,0.146215
2,3,0,0.139547
2,3,1,0.135219
2,4,0,0.125236
2,4,1,0.136688
2,5,0,0.132499
2,5,1,0.140676
2,6,0,0.139052
2,6,1,0.128066
2,7,0,0.133976
2,7,1,0.128101
4,1,0,0.104555
4,1,1,0.104051
4,2,0,0.100978
4,2,1,0.104500
4,3,0,0.102942
4,3,1,0.101459
4,4,0,0.102847
4,4,1,0.110039
4,5,0,0.094849
4,5,1,0.095748
4,6,0,0.106590
4,6,1,0.114733
4,7,0,0.103951
4,7,1,0.102793
8,1,0,0.079205
8,1,1,0.079995
8,2,0,0.076373
8,2,1,0.090193
8,3,0,0.085300
8,3,1,0.080869
8,4,0,0.073618
8,4,1,0.080724
8,5,0,0.083831
8,5,1,0.089332
8,6,0,0.095590
8,6,1,0.082713
8,7,0,0.078625
8,7,1,0.088016
16,1,0,0.074284
16,1,1,0.078797
16,2,0,0.060206
16,2,1,0.077500
16,3,0,0.068185
16,3,1,0.078471
16,4,0,0.070799
16,4,1,0.068712
16,5,0,0.074649
16,5,1,0.077224
16,6,0,0.069614
16,6,1,0.077497
16,7,0,0.078066
16,7,1,0.073150
32,1,0,0.072307
32,1,1,0.058501
32,2,0,0.066776
32,2,1,0.071422
32,3,0,0.075219
32,3,1,0.086598
32,4,0,0.090343
32,4,1,0.071796
32,5,0,0.063653
32,5,1,0.082964
32,6,0,0.089381
32,6,1,0.088223
32,7,0,0.066381
32,7,1,0.084068
1,1,0,0.210231
1,1,1,0.206270
1,2,0,0.212170
1,2,1,0.205275
1,3,0,0.207874
1,3,1,0.207107
1,4,0,0.207212
1,4,1,0.208677
1,5,0,0.201521
1,5,1,0.205035
1,6,0,0.208110
1,6,1,0.207682
1,7,0,0.217067
1,7,1,0.207200
2,1,0,0.137070
2,1,1,0.136806
2,2,0,0.142810
2,2,1,0.133125
2,3,0,0.131120
2,3,1,0.134094
2,4,0,0.137561
2,4,1,0.144166
2,5,0,0.135230
2,5,1,0.139844
2,6,0,0.135256
2,6,1,0.126083
2,7,0,0.135200
2,7,1,0.139080
4,1,0,0.107510
4,1,1,0.103521
4,2,0,0.107534
4,2,1,0.098877
4,3,0,0.101218
4,3,1,0.106445
4,4,0,0.104947
4,4,1,0.104083
4,5,0,0.109475
4,5,1,0.106431
4,6,0,0.105627
4,6,1,0.108890
4,7,0,0.110672
4,7,1,0.107190
8,1,0,0.078687
8,1,1,0.077033
8,2,0,0.081827
8,2,1,0.093306
8,3,0,0.074706
8,3,1,0.086636
8,4,0,0.088801
8,4,1,0.081976
8,5,0,0.092583
8,5,1,0.102778
8,6,0,0.084899
8,6,1,0.087784
8,7,0,0.091295
8,7,1,0.078120
16,1,0,0.078423
16,1,1,0.080457
16,2,0,0.073833
16,2,1,0.080306
16,3,0,0.073641
16,3,1,0.062209
16,4,0,0.072958
16,4,1,0.060983
16,5,0,0.071223
16,5,1,0.087634
16,6,0,0.072789
16,6,1,0.072493
16,7,0,0.078315
16,7,1,0.072408
32,1,0,0.077094
32,1,1,0.057649
32,2,0,0.066700
32,2,1,0.066775
32,3,0,0.066085
32,3,1,0.066853
32,4,0,0.082898
32,4,1,0.062957
32,5,0,0.085265
32,5,1,0.086044
32,6,0,0.079367
32,6,1,0.071857
32,7,0,0.065746
32,7,1,0.083920
1,1,0,0.206633
1,1,1,0.204413
1,2,0,0.203648
1,2,1,0.208057
1,3,0,0.205826
1,3,1,0.206259
1,4,0,0.208222
1,4,1,0.205828
1,5,0,0.205996
1,5,1,0.208035
1,6,0,0.206644
1,6,1,0.215490
1,7,0,0.205412
1,7,1,0.206948
2,1,0,0.137390
2,1,1,0.135577
2,2,0,0.126757
2,2,1,0.133789
2,3,0,0.133936
2,3,1,0.136344
2,4,0,0.132256
2,4,1,0.127297
2,5,0,0.136400
2,5,1,0.141309
2,6,0,0.138320
2,6,1,0.135874
2,7,0,0.138716
2,7,1,0.146461
4,1,0,0.107699
4,1,1,0.091847
4,2,0,0.103058
4,2,1,0.108072
4,3,0,0.106279
4,3,1,0.103129
4,4,0,0.104222
4,4,1,0.094465
4,5,0,0.106069
4,5,1,0.089782
4,6,0,0.112064
4,6,1,0.109483
4,7,0,0.093801
4,7,1,0.098773
8,1,0,0.075383
8,1,1,0.082543
8,2,0,0.088859
8,2,1,0.095341
8,3,0,0.071329
8,3,1,0.086069
8,4,0,0.095426
8,4,1,0.084450
8,5,0,0.084643
8,5,1,0.089242
8,6,0,0.095297
8,6,1,0.087993
8,7,0,0.097420
8,7,1,0.083074
16,1,0,0.074875
16,1,1,0.077818
16,2,0,0.070246
