timestamp: Fri Feb 15 22:23:29 EST 2019
rank,test,barrier,time
4,4,1,0.206664
4,5,0,0.213166
4,5,1,0.204718
4,6,0,0.230607
4,6,1,0.225590
4,7,0,0.234010
4,7,1,0.227278
8,1,0,0.234740
8,1,1,0.252396
8,2,0,0.246536
8,2,1,0.204708
8,3,0,0.179328
8,3,1,0.157156
8,4,0,0.214764
8,4,1,0.223954
8,5,0,0.164497
8,5,1,0.235623
8,6,0,0.204148
8,6,1,0.258099
8,7,0,0.241270
8,7,1,0.225511
16,1,0,0.245967
16,1,1,0.219543
16,2,0,0.175090
16,2,1,0.158554
16,3,0,0.238300
16,3,1,0.231131
16,4,0,0.218345
16,4,1,0.206407
16,5,0,0.183666
16,5,1,0.228850
16,6,0,0.231868
16,6,1,0.205333
16,7,0,0.215921
16,7,1,0.231458
32,1,0,0.256694
32,1,1,0.229011
32,2,0,0.237440
32,2,1,0.202339
32,3,0,0.222759
32,3,1,0.240784
32,4,0,0.246643
32,4,1,0.241899
32,5,0,0.241177
32,5,1,0.146440
32,6,0,0.201746
32,6,1,0.254942
32,7,0,0.226685
32,7,1,0.180923
1,1,0,0.306990
1,1,1,0.301574
1,2,0,0.285550
1,2,1,0.287925
1,3,0,0.286284
1,3,1,0.282544
1,4,0,0.285450
1,4,1,0.293217
1,5,0,0.291555
1,5,1,0.301820
1,6,0,0.304238
1,6,1,0.295303
1,7,0,0.301721
1,7,1,0.298229
2,1,0,0.244182
2,1,1,0.257455
2,2,0,0.219476
2,2,1,0.232538
2,3,0,0.246671
2,3,1,0.224652
2,4,0,0.252114
2,4,1,0.229377
2,5,0,0.233057
2,5,1,0.222810
2,6,0,0.236580
2,6,1,0.245245
2,7,0,0.258080
2,7,1,0.254855
4,1,0,0.224798
4,1,1,0.228322
4,2,0,0.216835
4,2,1,0.207660
4,3,0,0.189990
4,3,1,0.210691
4,4,0,0.215375
4,4,1,0.213940
4,5,0,0.206588
4,5,1,0.214265
4,6,0,0.223500
4,6,1,0.224794
4,7,0,0.222185
4,7,1,0.235247
8,1,0,0.227681
8,1,1,0.231302
8,2,0,0.160659
8,2,1,0.221661
8,3,0,0.224230
8,3,1,0.191100
8,4,0,0.200388
8,4,1,0.224170
8,5,0,0.202429
8,5,1,0.201867
8,6,0,0.199627
8,6,1,0.247016
8,7,0,0.233630
8,7,1,0.250192
16,1,0,0.211802
16,1,1,0.238661
16,2,0,0.232075
16,2,1,0.243568
16,3,0,0.252533
16,3,1,0.154878
16,4,0,0.234689
16,4,1,0.181564
16,5,0,0.188627
16,5,1,0.195348
16,6,0,0.271300
16,6,1,0.164123
16,7,0,0.247380
16,7,1,0.246039
32,1,0,0.256423
32,1,1,0.254856
32,2,0,0.196860
32,2,1,0.168137
32,3,0,0.180246
32,3,1,0.225928
32,4,0,0.224047
32,4,1,0.181331
32,5,0,0.165421
32,5,1,0.243877
32,6,0,0.254853
32,6,1,0.192825
32,7,0,0.254937
32,7,1,0.221218
1,1,0,0.304164
1,1,1,0.303857
1,2,0,0.289147
1,2,1,0.287184
1,3,0,0.290037
1,3,1,0.286494
1,4,0,0.293371
1,4,1,0.287984
1,5,0,0.288435
1,5,1,0.287339
1,6,0,0.301385
1,6,1,0.303802
1,7,0,0.302176
1,7,1,0.305183
2,1,0,0.262727
2,1,1,0.235440
2,2,0,0.221221
2,2,1,0.232254
2,3,0,0.224097
2,3,1,0.226335
2,4,0,0.231962
2,4,1,0.243950
2,5,0,0.244708
2,5,1,0.223687
2,6,0,0.225080
2,6,1,0.242226
2,7,0,0.236080
2,7,1,0.251109
4,1,0,0.243176
4,1,1,0.223706
4,2,0,0.200312
4,2,1,0.210900
4,3,0,0.207219
4,3,1,0.199477
4,4,0,0.200718
4,4,1,0.202353
4,5,0,0.205798
4,5,1,0.213820
4,6,0,0.213113
4,6,1,0.225944
4,7,0,0.228269
4,7,1,0.228570
8,1,0,0.241519
8,1,1,0.211786
8,2,0,0.222132
8,2,1,0.161392
8,3,0,0.241755
8,3,1,0.183592
8,4,0,0.248887
8,4,1,0.225835
8,5,0,0.229228
8,5,1,0.197315
8,6,0,0.196522
8,6,1,0.233306
8,7,0,0.224854
8,7,1,0.225555
16,1,0,0.239306
16,1,1,0.260044
16,2,0,0.174703
16,2,1,0.223572
16,3,0,0.198153
16,3,1,0.164326
16,4,0,0.242641
16,4,1,0.186224
16,5,0,0.231380
16,5,1,0.208407
16,6,0,0.197567
16,6,1,0.232899
16,7,0,0.201154
16,7,1,0.246542
32,1,0,0.249455
32,1,1,0.257493
32,2,0,0.232474
32,2,1,0.220434
32,3,0,0.240345
32,3,1,0.227884
32,4,0,0.238646
32,4,1,0.190957
32,5,0,0.229151
32,5,1,0.228289
32,6,0,0.231564
32,6,1,0.256686
32,7,0,0.252321
32,7,1,0.204793
1,1,0,0.299950
1,1,1,0.306143
1,2,0,0.288033
1,2,1,0.285265
1,3,0,0.290014
1,3,1,0.285522
1,4,0,0.291491
1,4,1,0.292236
1,5,0,0.287383
1,5,1,0.288625
1,6,0,0.297966
1,6,1,0.303313
1,7,0,0.301506
1,7,1,0.299223
2,1,0,0.239798
2,1,1,0.236179
2,2,0,0.222638
2,2,1,0.222628
2,3,0,0.223974
2,3,1,0.227371
2,4,0,0.215413
2,4,1,0.232988
2,5,0,0.244630
2,5,1,0.221194
2,6,0,0.243210
2,6,1,0.244896
2,7,0,0.248689
2,7,1,0.239859
4,1,0,0.234225
4,1,1,0.219832
4,2,0,0.210596
4,2,1,0.188022
4,3,0,0.206169
4,3,1,0.189685
4,4,0,0.215062
4,4,1,0.213131
4,5,0,0.212290
4,5,1,0.188104
4,6,0,0.225783
4,6,1,0.209711
4,7,0,0.211996
4,7,1,0.218179
8,1,0,0.176223
8,1,1,0.199824
8,2,0,0.236428
8,2,1,0.201186
8,3,0,0.192562
8,3,1,0.207285
8,4,0,0.168971
8,4,1,0.201139
8,5,0,0.234850
8,5,1,0.180152
8,6,0,0.243015
8,6,1,0.241825
8,7,0,0.228646
8,7,1,0.247330
16,1,0,0.239773
16,1,1,0.171123
16,2,0,0.225092
16,2,1,0.213112
16,3,0,0.175606
16,3,1,0.193771
16,4,0,0.225682
16,4,1,0.173516
16,5,0,0.238149
16,5,1,0.199632
16,6,0,0.231732
16,6,1,0.248526
16,7,0,0.219305
16,7,1,0.196493
32,1,0,0.256499
32,1,1,0.183037
32,2,0,0.210701
32,2,1,0.175530
32,3,0,0.236996
32,3,1,0.241076
32,4,0,0.237150
32,4,1,0.221574
32,5,0,0.178508
32,5,1,0.208105
32,6,0,0.200338
32,6,1,0.182477
32,7,0,0.185372
32,7,1,0.229880
1,1,0,0.306355
1,1,1,0.316865
1,2,0,0.287722
1,2,1,0.296447
1,3,0,0.284253
1,3,1,0.288650
1,4,0,0.287984
1,4,1,0.290242
1,5,0,0.287250
1,5,1,0.287179
1,6,0,0.299596
1,6,1,0.301188
1,7,0,0.302354
1,7,1,0.298172
2,1,0,0.241288
2,1,1,0.249805
2,2,0,0.224186
2,2,1,0.226554
2,3,0,0.221650
2,3,1,0.218302
2,4,0,0.216689
2,4,1,0.218360
2,5,0,0.222307
2,5,1,0.214181
2,6,0,0.238141
2,6,1,0.245282
2,7,0,0.226249
2,7,1,0.241460
4,1,0,0.221188
4,1,1,0.201905
4,2,0,0.206587
4,2,1,0.204989
4,3,0,0.202561
4,3,1,0.205549
4,4,0,0.206902
4,4,1,0.216890
4,5,0,0.210869
4,5,1,0.211458
4,6,0,0.221641
4,6,1,0.224452
4,7,0,0.220370
4,7,1,0.222483
8,1,0,0.239751
8,1,1,0.221711
8,2,0,0.215630
8,2,1,0.181793
8,3,0,0.212697
8,3,1,0.238120
8,4,0,0.214568
8,4,1,0.220007
8,5,0,0.177563
8,5,1,0.236166
8,6,0,0.241968
8,6,1,0.217732
8,7,0,0.234770
8,7,1,0.243855
16,1,0,0.238716
16,1,1,0.206128
16,2,0,0.225436
16,2,1,0.224437
16,3,0,0.186257
16,3,1,0.219951
16,4,0,0.181553
16,4,1,0.205950
16,5,0,0.242647
16,5,1,0.223060
16,6,0,0.254498
16,6,1,0.252783
16,7,0,0.261794
16,7,1,0.249242
32,1,0,0.190202
32,1,1,0.251087
32,2,0,0.238149
32,2,1,0.238711
32,3,0,0.204229
32,3,1,0.210159
32,4,0,0.200755
32,4,1,0.233925
32,5,0,0.219246
32,5,1,0.229604
32,6,0,0.249785
32,6,1,0.246449
32,7,0,0.256384
32,7,1,0.256940
1,1,0,0.303601
1,1,1,0.301456
1,2,0,0.299125
1,2,1,0.295619
1,3,0,0.288103
1,3,1,0.302826
1,4,0,0.290587
1,4,1,0.294394
1,5,0,0.289891
1,5,1,0.294279
1,6,0,0.301223
1,6,1,0.303307
1,7,0,0.301237
1,7,1,0.300237
2,1,0,0.237469
2,1,1,0.233522
2,2,0,0.222722
2,2,1,0.224346
2,3,0,0.220193
2,3,1,0.227590
2,4,0,0.233674
2,4,1,0.251528
2,5,0,0.222091
2,5,1,0.222478
2,6,0,0.244371
2,6,1,0.239809
2,7,0,0.237482
2,7,1,0.245230
4,1,0,0.223568
4,1,1,0.207946
4,2,0,0.213698
4,2,1,0.210153
4,3,0,0.200981
4,3,1,0.206519
4,4,0,0.208688
4,4,1,0.213412
4,5,0,0.195588
4,5,1,0.206566
4,6,0,0.230941
4,6,1,0.226188
4,7,0,0.217013
4,7,1,0.234891
8,1,0,0.232571
8,1,1,0.242429
8,2,0,0.235781
